Year,Index,logSE
2001,0.03729936,0.037286397
2002,0.08356804,0.083422688
2003,0.067031,0.066955888
2004,0.07358365,0.073484335
2005,0.0841934,0.084044768
2006,0.07660736,0.07649532
2007,0.06905918,0.068977053
2008,0.06109498,0.061038084
2009,0.059618,0.059565127
2010,0.06404681,0.063981276
2011,0.05058343,0.050551118
2012,0.04001896,0.040002951
2013,0.03922927,0.03921419
2014,0.03865847,0.038644038
2015,0.03492141,0.03491077
2016,0.05350269,0.053464461
