Year,Index,logSE,lowerCI,upperCI
1994,0.04748781,0.30415823,,
1998,0.02232938,0.24991746,,
2003,0.05140436,0.235561237,,
2008,0.01559429,0.318656211,,
2013,0.02138283,0.302138377,,
