Model,Binomial,Lognormal
~Year,19619.56,9177.115
~Year + Reef,18677.11,9177.115
~ Year + Depth,19374.02,8860.893
~Year + Depth + Reef,18392.13,8778.47
~Year + Month + Reef + Depth,\textbf{18318.92},\textbf{8769.844}
