Year,Index,logSE
2001,0.11343067,0.161134827
2002,0.07591359,0.156587266
2003,0.03739258,0.159959816
2004,0.08797504,0.141028673
2005,0.06151735,0.14443593
2006,0.08980009,0.102525575
2007,0.13603483,0.076029824
2008,0.10484302,0.072240667
2009,0.10269512,0.072318561
2010,0.11214498,0.070085228
2011,0.0905052,0.077455892
2012,0.08073655,0.073572926
2013,0.06539016,0.076255222
2014,0.06629975,0.089534404
2015,0.04031271,0.108830445
2016,0.07200258,0.102584508
