Year,N measured,N trips,Mean length
1995,148,46,20.4
1996,138,66,23.21
1997,169,62,22.43
1998,80,50,23.14
1999,74,48,23.4
2000,58,36,23.67
2001,66,41,24.34
2002,83,52,24.12
2003,52,36,23.37
2004,94,34,25.35
2005,20,14,26.91
2006,56,20,22.37
2007,46,28,21.76
2008,46,23,23
