Year,N measured,N trips,sample size,Mean length
1996,37,4,9.106,27.68
1997,310,54,96.78,27.26
1998,13,4,5.794,31.55
1999,21,11,13.898,33.01
2000,15,5,7.07,29.91
2001,209,27,55.842,30.15
2002,59,19,27.142,33.51
2003,51,12,19.038,35.08
2004,33,6,10.554,34.07
