Year,Index,logSE
1995,0.05366627,0.05362769
1996,0.04012229,0.040106157
1997,0.04777134,0.047744119
1998,0.02745879,0.027453616
1999,0.03598648,0.035974837
2000,0.02985768,0.029851029
2001,0.03312569,0.033116608
2002,0.03480892,0.034798383
2003,0.03042639,0.030419352
2004,0.05414323,0.054103613
2005,0.03242643,0.032417911
2006,0.05721244,0.057165705
2007,0.05081031,0.050777562
2008,0.06184912,0.061790094
