Year,N measured,N trips,Sample size,Mean length
1996,25,1,4.45,22.06
1997,115,6,21.87,26.88
1998,197,16,43.186,25.79
1999,224,15,45.912,28.43
2000,24,2,5.312,27.8
2001,139,10,29.182,29.98
2002,71,7,16.798,28.49
2003,6,1,1.828,32.03
2013,244,1,7.06,29
2014,46,1,7.06,29.6
2015,163,1,7.06,29.38
