Model,Binomial,Lognormal
~Year,21826,11507
~Year + Reef,21192,11325
~ Year + Depth,21265,10704
~Year + Depth + Reef,20691,10619
~Year + Month + Reef + Depth,\textbf{20453},\textbf{10599}
