Year,Index,logSE
2006,1.115362,0.053261006
2007,0.9352512,0.049971697
2008,0.805229,0.048115608
2009,0.7644603,0.051584395
2010,0.6716274,0.065707304
2011,0.7660316,0.073425942
2012,0.6650971,0.080673263
2013,0.614316,0.070781523
2014,0.6076152,0.082567446
2015,0.6465184,0.090148645
2016,0.6529717,0.127488277
